[14/11/2025 20:41:13] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin], Params: [] 
[14/11/2025 21:15:33] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin], Params: [] 
[14/11/2025 21:15:34] --> GM: Odin [268477913], Target: [no-target], Action: [admin_move_to], Params: [] 
[14/11/2025 21:15:40] --> GM: Odin [268477913], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[14/11/2025 21:15:42] --> GM: Odin [268477913], Target: [no-target], Action: [admin_help], Params: [ tele/towns/elven_starting.htm] 
[14/11/2025 21:15:44] --> GM: Odin [268477913], Target: [no-target], Action: [admin_move_to], Params: [ 45873 49288 -3064] 
[14/11/2025 21:16:45] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin], Params: [] 
[14/11/2025 21:16:47] --> GM: Odin [268477913], Target: [no-target], Action: [admin_spawn_monster], Params: [] 
[14/11/2025 21:17:14] --> GM: Odin [268477913], Target: [no-target], Action: [admin_spawn_monster], Params: [ 31228 1] 
[14/11/2025 21:19:51] --> GM: Odin [268477913], Target: [Roy the Cat], Action: [admin_admin], Params: [] 
[14/11/2025 21:20:06] --> GM: Odin [268477913], Target: [Roy the Cat], Action: [admin_admin2], Params: [] 
[14/11/2025 21:20:08] --> GM: Odin [268477913], Target: [Roy the Cat], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 21:20:10] --> GM: Odin [268477913], Target: [Roy the Cat], Action: [admin_character_info], Params: [ Aldren] 
[14/11/2025 21:20:12] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_recall_char_menu], Params: [ Aldren] 
[14/11/2025 21:20:24] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_admin], Params: [] 
[14/11/2025 21:20:26] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_create_item], Params: [] 
[14/11/2025 21:20:39] --> GM: Odin [268477913], Target: [Odin], Action: [admin_create_item], Params: [ 57 50000000000] 
[14/11/2025 21:20:44] --> GM: Odin [268477913], Target: [Odin], Action: [admin_admin], Params: [] 
[14/11/2025 21:20:49] --> GM: Odin [268477913], Target: [Odin], Action: [admin_create_item], Params: [] 
[14/11/2025 21:21:01] --> GM: Odin [268477913], Target: [Odin], Action: [admin_create_item], Params: [ 57 50000000] 
[14/11/2025 21:22:21] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_admin], Params: [] 
[14/11/2025 21:22:23] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_admin2], Params: [] 
[14/11/2025 21:22:25] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_char_manage], Params: [] 
[14/11/2025 21:22:28] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_admin2], Params: [] 
[14/11/2025 21:22:30] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 21:22:33] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_character_info], Params: [ Aldren] 
[14/11/2025 21:22:37] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_add_exp_sp_to_character], Params: [] 
[14/11/2025 21:22:44] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_set_level], Params: [ 20] 
[14/11/2025 21:24:33] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_admin], Params: [] 
[14/11/2025 21:24:35] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_move_to], Params: [] 
[14/11/2025 21:24:36] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_help], Params: [ tele/towns.htm] 
[14/11/2025 21:24:38] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[14/11/2025 21:24:45] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_move_to], Params: [ 86674 148630 -3406] 
[14/11/2025 21:24:59] --> GM: Odin [268477913], Target: [no-target], Action: [admin_gmshop], Params: [] 
[14/11/2025 21:25:03] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin], Params: [] 
[14/11/2025 21:25:06] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin2], Params: [] 
[14/11/2025 21:25:41] --> GM: Odin [268477913], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 21:25:48] --> GM: Odin [268477913], Target: [no-target], Action: [admin_character_info], Params: [ Aldren] 
[14/11/2025 21:25:51] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_recall_char_menu], Params: [ Aldren] 
[14/11/2025 21:27:01] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_admin2], Params: [] 
[14/11/2025 21:27:03] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 21:29:39] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_character_info], Params: [ Aldren] 
[14/11/2025 21:29:41] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_add_exp_sp_to_character], Params: [] 
[14/11/2025 21:29:50] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_add_exp_sp], Params: [ 100000] 
[14/11/2025 21:30:20] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_add_exp_sp], Params: [ 1 100000] 
[14/11/2025 21:32:57] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_admin], Params: [] 
[14/11/2025 21:33:00] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_spawn_monster], Params: [] 
[14/11/2025 21:33:22] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_spawn_monster], Params: [ 53 1] 
[14/11/2025 21:45:46] --> GM: Odin [268477913], Target: [Angelic Shop], Action: [admin_admin], Params: [] 
[14/11/2025 21:45:48] --> GM: Odin [268477913], Target: [Angelic Shop], Action: [admin_create_item], Params: [] 
[14/11/2025 21:46:18] --> GM: Odin [268477913], Target: [Odin], Action: [admin_create_item], Params: [ 6571 1] 
[14/11/2025 21:58:25] --> GM: Odin [268477913], Target: [Angelic Shop], Action: [admin_showShop], Params: [ 53] 
[14/11/2025 21:58:30] --> GM: Odin [268477913], Target: [Angelic Shop], Action: [admin_close_window], Params: [] 
[14/11/2025 22:00:28] --> GM: Odin [268477913], Target: [Angelic Shop], Action: [admin_admin], Params: [] 
[14/11/2025 22:00:29] --> GM: Odin [268477913], Target: [Angelic Shop], Action: [admin_create_item], Params: [] 
[14/11/2025 22:00:40] --> GM: Odin [268477913], Target: [Odin], Action: [admin_create_item], Params: [ 8869 1] 
[14/11/2025 22:01:40] --> GM: Odin [268477913], Target: [Odin], Action: [admin_admin], Params: [] 
[14/11/2025 22:01:42] --> GM: Odin [268477913], Target: [Odin], Action: [admin_move_to], Params: [] 
[14/11/2025 22:01:47] --> GM: Odin [268477913], Target: [Odin], Action: [admin_help], Params: [ tele/towns.htm] 
[14/11/2025 22:01:49] --> GM: Odin [268477913], Target: [Odin], Action: [admin_help], Params: [ tele/towns/aden.htm] 
[14/11/2025 22:01:51] --> GM: Odin [268477913], Target: [Odin], Action: [admin_move_to], Params: [ 147422 27393 -2208] 
[14/11/2025 22:08:56] --> GM: Odin [268477913], Target: [Woodrow], Action: [admin_admin], Params: [] 
[14/11/2025 22:08:57] --> GM: Odin [268477913], Target: [Woodrow], Action: [admin_create_item], Params: [] 
[14/11/2025 22:09:01] --> GM: Odin [268477913], Target: [Woodrow], Action: [admin_create_item], Params: [ 8871] 
[14/11/2025 22:09:09] --> GM: Odin [268477913], Target: [Odin], Action: [admin_admin], Params: [] 
[14/11/2025 22:09:11] --> GM: Odin [268477913], Target: [Odin], Action: [admin_create_item], Params: [] 
[14/11/2025 22:09:17] --> GM: Odin [268477913], Target: [Odin], Action: [admin_create_item], Params: [ 8871 1] 
[14/11/2025 22:22:20] --> GM: Odin [268477913], Target: [Odin], Action: [admin_admin], Params: [] 
[14/11/2025 22:22:22] --> GM: Odin [268477913], Target: [Odin], Action: [admin_create_item], Params: [] 
[14/11/2025 22:22:29] --> GM: Odin [268477913], Target: [Odin], Action: [admin_create_item], Params: [ 5575 1] 
[14/11/2025 22:26:00] --> GM: Odin [268477913], Target: [Odin], Action: [admin_admin], Params: [] 
[14/11/2025 22:26:03] --> GM: Odin [268477913], Target: [Odin], Action: [admin_admin2], Params: [] 
[14/11/2025 22:26:04] --> GM: Odin [268477913], Target: [Odin], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 22:26:06] --> GM: Odin [268477913], Target: [Odin], Action: [admin_character_info], Params: [ Aldren] 
[14/11/2025 22:26:09] --> GM: Odin [268477913], Target: [no-target], Action: [admin_goto_char_menu], Params: [ Aldren] 
[14/11/2025 22:35:14] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin], Params: [] 
[14/11/2025 22:35:17] --> GM: Odin [268477913], Target: [no-target], Action: [admin_spawn_monster], Params: [] 
[14/11/2025 22:35:34] --> GM: Odin [268477913], Target: [no-target], Action: [admin_spawn_monster], Params: [ 31228 1] 
[14/11/2025 22:35:39] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin], Params: [] 
[14/11/2025 22:35:40] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin2], Params: [] 
[14/11/2025 22:35:41] --> GM: Odin [268477913], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 22:35:43] --> GM: Odin [268477913], Target: [no-target], Action: [admin_character_info], Params: [ Alny] 
[14/11/2025 22:35:45] --> GM: Odin [268477913], Target: [Alny], Action: [admin_recall_char_menu], Params: [ Alny] 
[14/11/2025 22:35:53] --> GM: Odin [268477913], Target: [Alny], Action: [admin_admin], Params: [] 
[14/11/2025 22:35:57] --> GM: Odin [268477913], Target: [Alny], Action: [admin_admin2], Params: [] 
[14/11/2025 22:35:58] --> GM: Odin [268477913], Target: [Alny], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 22:35:59] --> GM: Odin [268477913], Target: [Alny], Action: [admin_character_info], Params: [ Alny] 
[14/11/2025 22:36:01] --> GM: Odin [268477913], Target: [Alny], Action: [admin_add_exp_sp_to_character], Params: [] 
[14/11/2025 22:36:10] --> GM: Odin [268477913], Target: [Alny], Action: [admin_add_exp_sp], Params: [ 1 1000000] 
[14/11/2025 22:36:17] --> GM: Odin [268477913], Target: [Alny], Action: [admin_set_level], Params: [ 80] 
[14/11/2025 22:41:26] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin], Params: [] 
[14/11/2025 22:41:28] --> GM: Odin [268477913], Target: [no-target], Action: [admin_move_to], Params: [] 
[14/11/2025 22:41:29] --> GM: Odin [268477913], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[14/11/2025 22:41:35] --> GM: Odin [268477913], Target: [no-target], Action: [admin_help], Params: [ tele/towns/elven_starting.htm] 
[14/11/2025 22:41:37] --> GM: Odin [268477913], Target: [no-target], Action: [admin_move_to], Params: [ 45873 49288 -3064] 
[14/11/2025 22:42:36] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin], Params: [] 
[14/11/2025 22:42:38] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin2], Params: [] 
[14/11/2025 22:42:40] --> GM: Odin [268477913], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 22:42:41] --> GM: Odin [268477913], Target: [no-target], Action: [admin_character_info], Params: [ Aldren] 
[14/11/2025 22:42:43] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_recall_char_menu], Params: [ Aldren] 
[14/11/2025 22:42:56] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_admin], Params: [] 
[14/11/2025 22:42:59] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_admin2], Params: [] 
[14/11/2025 22:43:00] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_show_characters], Params: [ 0] 
